Topic ID,Word,Probability
49,aliyye,0.021204332
49,rusya,0.019234963
49,suret,0.010348458
49,madde,0.010103538
49,sene,0.008661004
49,kırım,0.007026075
49,devl,0.006700761
49,halde,0.005560158
49,ittifak,0.005543521
49,beyan,0.0050624893
49,elçi,0.005026848
49,lazım,0.0049605784
49,takrir,0.004184381
49,vakit,0.004053696
49,nemçe,0.0038112497
49,hal,0.0037401144
49,meclis,0.0037111714
49,nizam,0.003665579
49,reis,0.0035061035
